Home_xG,Away_xG,Home_shots,Away_shots,Home_corner,Away_corner,Home_PK_Goal,Away_PK_Goal,Home_PK_shots,Away_PK_shots,Home_ToP, Home_GS_Percent, Away_GS_Percent,Home_Conference,Away_Conference,Home_Timezone_Difference,Away_Timezone_Difference,Winner
0.98,0.9,9,11,5,2,0,0,0,0,0.57,0.1111,0,Western,Eastern,0,-1,Home
1.23,1.11,16,9,6,7,0,0,0,0,0.47,0.0625,0.2222,Eastern,Eastern,0,1,Away
2.27,1.08,4,14,8,3,0,0,0,0,0.51,0,0.0714,Western,Western,0,3,Away
1.2,1.2,17,20,6,4,0,0,0,0,0.49,0.0588,0.1,Eastern,Eastern,0,1,Away
1.06,2.09,17,14,7,7,0,0,1,1,0.53,0.0588,0.3571,Western,Western,0,0,Away
1.74,1,17,9,4,5,0,0,0,0,0.36,0.0588,0,Western,Eastern,0,-3,Home
1.88,0.32,18,3,3,2,0,0,0,0,0.48,0.1111,0.3333,Eastern,Western,0,1,Home
0.9,2.11,18,18,7,10,0,0,0,0,0.58,0.0556,0.1667,Western,Western,0,-1,Away
1.27,1.64,9,20,2,3,0,0,0,0,0.55,0.1111,0.1,Western,Western,0,0,Away
1.16,1.44,10,11,5,5,0,0,0,0,0.53,0.2,0.0909,Western,Eastern,0,-3,Home
0.67,1.53,19,18,9,9,0,0,0,0,0.53,0.1579,0.0556,Eastern,Eastern,0,0,Home
1.01,2.42,7,17,5,5,0,0,0,0,0.65,0.2857,0.1765,Eastern,Eastern,0,-1,Away
1.42,0.7,15,6,6,4,0,0,1,1,0.67,0.0667,0,Eastern,Eastern,0,0,Home
2.05,0.77,17,14,2,2,0,0,0,0,0.58,0.0588,0.1429,Western,Eastern,0,-1,Away
2.26,1.16,17,10,8,6,0,0,1,0,0.69,0.1765,0.2,Western,Western,0,1,Home
2.31,2.1,19,20,4,3,0,0,1,0,0.55,0.0526,0.1,Eastern,Eastern,0,0,Away
1.5,0.83,18,10,4,7,0,0,0,0,0.37,0,0.1,Western,Western,0,-2,Away
1.61,1.16,16,19,9,2,0,0,0,0,0.47,0.1875,0.0526,Eastern,Western,0,1,Home
1.63,1.16,9,8,2,2,0,0,0,0,0.51,0,0.25,Eastern,Eastern,0,1,Away
0.29,0.99,10,15,2,2,0,0,0,0,0.57,0,0.1333,Western,Western,0,1,Away
2.03,0.5,14,7,4,5,0,0,0,0,0.5,0.2143,0,Eastern,Western,0,1,Home
1.11,1.34,9,13,7,4,0,0,0,0,0.31,0,0.1538,Eastern,Western,0,1,Away
3.05,0.81,17,5,6,1,0,0,1,1,0.44,0.1765,0.2,Western,Western,0,-1,Home
1.85,1.14,15,5,6,2,0,0,0,0,0.48,0,0.4,Eastern,Eastern,0,1,Away
