n,game_id,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Home_ToP,Home_xG,Away_xG,Home_shots,Away_shots,Home_corner,Away_corner,Home_PK_Goal,Away_PK_Goal,Home_PK_shots,Away_PK_shots,Home xG/S %,Away xG/S %
1,game_2023_1,PRO,MAN,1,1,Draw,0.53,1.63,0.34,17,8,5,4,0,0,0,0,9.59%,4.25%
2,game_2023_2,FOR,LEX,1,0,Home,0.57,0.98,0.9,9,11,5,2,0,0,0,0,10.89%,8.18%
3,game_2023_3,SJU,DES,1,2,Away,0.47,1.23,1.11,16,9,6,7,0,0,0,0,7.69%,12.33%
4,game_2023_4,FAR,ANC,0,1,Away,0.51,2.27,1.08,4,14,8,3,0,0,0,0,56.75%,7.71%
5,game_2023_5,DOV,BAK,0,0,Draw,0.53,1.9,0.56,17,6,5,3,0,0,0,0,11.18%,9.33%
6,game_2023_6,ALB,LAR,1,1,Draw,0.54,0.62,0.78,11,17,9,4,0,0,0,0,5.64%,4.59%
7,game_2023_7,SAS,MOB,0,0,Draw,0.44,0.75,0.38,14,12,7,6,0,0,0,0,5.36%,3.17%
8,game_2023_8,CHM,EUG,0,0,Draw,0.57,1.54,1.18,11,3,8,0,0,0,0,0,14.00%,39.33%
9,game_2023_9,TOL,JAC,1,2,Away,0.49,1.2,1.2,17,20,6,4,0,0,0,0,7.06%,6.00%
10,game_2023_10,REN,OAK,1,1,Draw,0.57,0.7,0.17,7,7,4,6,0,0,0,0,10.00%,2.43%
11,game_2023_11,SFS,AUG,1,1,Draw,0.54,1.34,1.2,6,11,2,1,0,0,0,0,22.33%,10.91%
12,game_2023_12,TUC,BOI,1,5,Away,0.53,1.06,2.09,17,14,7,7,0,0,1,1,6.24%,14.93%
13,game_2023_13,LRO,TAC,1,1,Draw,0.44,2.17,0.23,13,5,8,5,0,0,0,1,16.69%,4.60%
14,game_2023_14,ANC,LRO,1,0,Home,0.36,1.74,1,17,9,4,5,0,0,0,0,10.24%,11.11%
15,game_2023_15,WIC,CHM,1,1,Draw,0.46,1.29,0.91,16,11,13,4,0,0,0,0,8.06%,8.27%
